2026-05-16 05:02:56 WAT LOG:  début du checkpoint : time
2026-05-16 05:03:03 WAT LOG:  checkpoint complete: wrote 60 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=6.568 s, sync=0.016 s, total=6.597 s; sync files=33, longest=0.001 s, average=0.001 s; distance=332 kB, estimate=332 kB; lsn=0/CB4A068, redo lsn=0/CB49FC0
2026-05-16 05:07:56 WAT LOG:  début du checkpoint : time
2026-05-16 05:07:59 WAT LOG:  checkpoint complete: wrote 29 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=3.183 s, sync=0.012 s, total=3.202 s; sync files=13, longest=0.002 s, average=0.001 s; distance=157 kB, estimate=315 kB; lsn=0/CB71698, redo lsn=0/CB71640
2026-05-16 05:12:56 WAT LOG:  début du checkpoint : time
2026-05-16 05:13:01 WAT LOG:  checkpoint complete: wrote 44 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.830 s, sync=0.022 s, total=4.870 s; sync files=18, longest=0.003 s, average=0.002 s; distance=243 kB, estimate=307 kB; lsn=0/CBAE368, redo lsn=0/CBAE310
2026-05-16 05:17:56 WAT LOG:  début du checkpoint : time
2026-05-16 05:17:59 WAT LOG:  checkpoint complete: wrote 27 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.936 s, sync=0.019 s, total=2.972 s; sync files=14, longest=0.004 s, average=0.002 s; distance=160 kB, estimate=293 kB; lsn=0/CBD66F8, redo lsn=0/CBD6668
2026-05-16 05:22:56 WAT LOG:  début du checkpoint : time
2026-05-16 05:22:58 WAT LOG:  checkpoint complete: wrote 24 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.632 s, sync=0.009 s, total=2.650 s; sync files=13, longest=0.002 s, average=0.001 s; distance=133 kB, estimate=277 kB; lsn=0/CBF7D60, redo lsn=0/CBF7D08
2026-05-16 05:27:56 WAT LOG:  début du checkpoint : time
2026-05-16 05:27:59 WAT LOG:  checkpoint complete: wrote 21 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.307 s, sync=0.009 s, total=2.324 s; sync files=13, longest=0.003 s, average=0.001 s; distance=125 kB, estimate=262 kB; lsn=0/CC17280, redo lsn=0/CC17228
2026-05-16 05:32:56 WAT LOG:  début du checkpoint : time
2026-05-16 05:32:58 WAT LOG:  checkpoint complete: wrote 15 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.662 s, sync=0.011 s, total=1.685 s; sync files=13, longest=0.003 s, average=0.001 s; distance=90 kB, estimate=244 kB; lsn=0/CC2DC88, redo lsn=0/CC2DC30
2026-05-16 06:02:56 WAT LOG:  début du checkpoint : time
