2026-05-06 02:46:09 WAT LOG:  début du checkpoint : time
2026-05-06 02:46:17 WAT LOG:  checkpoint complete: wrote 72 buffers (0.4%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=7.836 s, sync=0.021 s, total=7.869 s; sync files=42, longest=0.002 s, average=0.001 s; distance=443 kB, estimate=443 kB; lsn=0/5990B48, redo lsn=0/5990AB8
2026-05-06 02:51:09 WAT LOG:  début du checkpoint : time
2026-05-06 02:51:10 WAT LOG:  checkpoint complete: wrote 13 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.417 s, sync=0.012 s, total=1.439 s; sync files=13, longest=0.003 s, average=0.001 s; distance=72 kB, estimate=406 kB; lsn=0/59A2EA0, redo lsn=0/59A2E10
2026-05-06 03:01:09 WAT LOG:  début du checkpoint : time
2026-05-06 03:01:22 WAT LOG:  checkpoint complete: wrote 114 buffers (0.7%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=12.424 s, sync=0.019 s, total=12.459 s; sync files=29, longest=0.002 s, average=0.001 s; distance=679 kB, estimate=679 kB; lsn=0/5A4CCC8, redo lsn=0/5A4CC38
2026-05-06 03:06:09 WAT LOG:  début du checkpoint : time
2026-05-06 03:06:11 WAT LOG:  checkpoint complete: wrote 22 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.396 s, sync=0.012 s, total=2.419 s; sync files=15, longest=0.003 s, average=0.001 s; distance=144 kB, estimate=626 kB; lsn=0/5A849F0, redo lsn=0/5A70D60
2026-05-06 03:11:09 WAT LOG:  début du checkpoint : time
2026-05-06 03:11:13 WAT LOG:  checkpoint complete: wrote 38 buffers (0.2%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.147 s, sync=0.016 s, total=4.174 s; sync files=25, longest=0.002 s, average=0.001 s; distance=220 kB, estimate=585 kB; lsn=0/5AA8080, redo lsn=0/5AA8028
2026-05-06 03:16:09 WAT LOG:  début du checkpoint : time
2026-05-06 03:16:12 WAT LOG:  checkpoint complete: wrote 24 buffers (0.1%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.622 s, sync=0.012 s, total=2.645 s; sync files=16, longest=0.003 s, average=0.001 s; distance=125 kB, estimate=539 kB; lsn=0/5AC7638, redo lsn=0/5AC75A8
2026-05-06 03:23:17 WAT LOG:  n'a pas pu recevoir les donnÃ©es du client : An existing connection was forcibly closed by the remote host.
	
2026-05-06 03:23:17 WAT LOG:  n'a pas pu recevoir les donnÃ©es du client : An existing connection was forcibly closed by the remote host.
	
