2026-06-05 00:47:21 WAT LOG:  début du checkpoint : time
2026-06-05 00:47:26 WAT LOG:  checkpoint complete: wrote 48 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=5.259 s, sync=0.016 s, total=5.295 s; sync files=33, longest=0.003 s, average=0.001 s; distance=274 kB, estimate=274 kB; lsn=0/1133B590, redo lsn=0/1133B538
2026-06-05 00:52:21 WAT LOG:  début du checkpoint : time
2026-06-05 00:52:24 WAT LOG:  checkpoint complete: wrote 23 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.493 s, sync=0.008 s, total=2.507 s; sync files=13, longest=0.003 s, average=0.001 s; distance=138 kB, estimate=260 kB; lsn=0/1135DDA0, redo lsn=0/1135DD48
2026-06-05 00:57:21 WAT LOG:  début du checkpoint : time
2026-06-05 00:57:24 WAT LOG:  checkpoint complete: wrote 26 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.825 s, sync=0.009 s, total=2.841 s; sync files=14, longest=0.003 s, average=0.001 s; distance=144 kB, estimate=249 kB; lsn=0/11381FA8, redo lsn=0/11381F50
2026-06-05 01:02:21 WAT LOG:  début du checkpoint : time
2026-06-05 01:02:23 WAT LOG:  checkpoint complete: wrote 21 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.282 s, sync=0.007 s, total=2.296 s; sync files=13, longest=0.003 s, average=0.001 s; distance=115 kB, estimate=235 kB; lsn=0/1139EED0, redo lsn=0/1139EE78
2026-06-05 01:07:21 WAT LOG:  début du checkpoint : time
2026-06-05 01:07:23 WAT LOG:  checkpoint complete: wrote 21 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.283 s, sync=0.008 s, total=2.297 s; sync files=13, longest=0.003 s, average=0.001 s; distance=105 kB, estimate=222 kB; lsn=0/113B9350, redo lsn=0/113B92F8
2026-06-05 01:12:21 WAT LOG:  début du checkpoint : time
2026-06-05 01:12:26 WAT LOG:  checkpoint complete: wrote 40 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.351 s, sync=0.012 s, total=4.370 s; sync files=21, longest=0.003 s, average=0.001 s; distance=202 kB, estimate=220 kB; lsn=0/113EBCA0, redo lsn=0/113EBC48
2026-06-05 01:17:21 WAT LOG:  début du checkpoint : time
2026-06-05 01:17:27 WAT LOG:  checkpoint complete: wrote 58 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=6.324 s, sync=0.013 s, total=6.347 s; sync files=28, longest=0.003 s, average=0.001 s; distance=306 kB, estimate=306 kB; lsn=0/11438690, redo lsn=0/11438638
2026-06-05 01:22:21 WAT LOG:  début du checkpoint : time
2026-06-05 01:22:28 WAT LOG:  checkpoint complete: wrote 60 buffers (0.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=6.545 s, sync=0.011 s, total=6.563 s; sync files=33, longest=0.001 s, average=0.001 s; distance=358 kB, estimate=358 kB; lsn=0/114A34C8, redo lsn=0/114921C0
2026-06-05 01:27:21 WAT LOG:  début du checkpoint : time
2026-06-05 01:27:25 WAT LOG:  checkpoint complete: wrote 39 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.258 s, sync=0.009 s, total=4.272 s; sync files=14, longest=0.003 s, average=0.001 s; distance=234 kB, estimate=346 kB; lsn=0/114CCBA0, redo lsn=0/114CCB48
2026-06-05 01:32:21 WAT LOG:  début du checkpoint : time
2026-06-05 01:32:30 WAT LOG:  checkpoint complete: wrote 81 buffers (0.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=8.802 s, sync=0.225 s, total=9.054 s; sync files=38, longest=0.025 s, average=0.006 s; distance=487 kB, estimate=487 kB; lsn=0/11546B48, redo lsn=0/11546AB8
2026-06-05 01:37:21 WAT LOG:  début du checkpoint : time
2026-06-05 01:37:27 WAT LOG:  checkpoint complete: wrote 54 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=5.881 s, sync=0.010 s, total=5.899 s; sync files=21, longest=0.003 s, average=0.001 s; distance=289 kB, estimate=468 kB; lsn=0/1158F238, redo lsn=0/1158F1E0
2026-06-05 01:42:21 WAT LOG:  début du checkpoint : time
