2026-05-12 17:52:45 WAT LOG:  début du checkpoint : time
2026-05-12 17:52:47 WAT LOG:  checkpoint complete: wrote 18 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.968 s, sync=0.006 s, total=1.986 s; sync files=13, longest=0.001 s, average=0.001 s; distance=114 kB, estimate=246 kB; lsn=0/A605F60, redo lsn=0/A605F08
2026-05-12 17:57:45 WAT LOG:  début du checkpoint : time
2026-05-12 17:57:47 WAT LOG:  checkpoint complete: wrote 19 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.085 s, sync=0.008 s, total=2.100 s; sync files=14, longest=0.003 s, average=0.001 s; distance=111 kB, estimate=232 kB; lsn=0/A621D58, redo lsn=0/A621D00
2026-05-12 18:02:45 WAT LOG:  début du checkpoint : time
2026-05-12 18:02:46 WAT LOG:  checkpoint complete: wrote 12 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.297 s, sync=0.008 s, total=1.311 s; sync files=13, longest=0.003 s, average=0.001 s; distance=70 kB, estimate=216 kB; lsn=0/A6337F0, redo lsn=0/A633798
2026-05-12 19:12:45 WAT LOG:  début du checkpoint : time
2026-05-12 19:12:51 WAT LOG:  checkpoint complete: wrote 53 buffers (0.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=5.779 s, sync=0.014 s, total=5.801 s; sync files=34, longest=0.003 s, average=0.001 s; distance=276 kB, estimate=276 kB; lsn=0/A678A00, redo lsn=0/A6789A8
2026-05-12 19:17:45 WAT LOG:  début du checkpoint : time
2026-05-12 19:17:48 WAT LOG:  checkpoint complete: wrote 21 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.285 s, sync=0.007 s, total=2.298 s; sync files=13, longest=0.003 s, average=0.001 s; distance=107 kB, estimate=259 kB; lsn=0/A693A18, redo lsn=0/A693988
2026-05-12 19:22:45 WAT LOG:  début du checkpoint : time
2026-05-12 19:22:47 WAT LOG:  checkpoint complete: wrote 22 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.400 s, sync=0.008 s, total=2.414 s; sync files=13, longest=0.003 s, average=0.001 s; distance=110 kB, estimate=244 kB; lsn=0/A6AF5C8, redo lsn=0/A6AF538
2026-05-12 19:27:45 WAT LOG:  début du checkpoint : time
2026-05-12 19:27:49 WAT LOG:  checkpoint complete: wrote 38 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.138 s, sync=0.007 s, total=4.152 s; sync files=18, longest=0.001 s, average=0.001 s; distance=211 kB, estimate=241 kB; lsn=0/A6F53D0, redo lsn=0/A6E42E0
2026-05-12 19:32:45 WAT LOG:  début du checkpoint : time
2026-05-12 19:32:47 WAT LOG:  checkpoint complete: wrote 19 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.061 s, sync=0.009 s, total=2.076 s; sync files=13, longest=0.003 s, average=0.001 s; distance=95 kB, estimate=226 kB; lsn=0/A6FC220, redo lsn=0/A6FC190
2026-05-12 19:37:45 WAT LOG:  début du checkpoint : time
2026-05-12 19:37:55 WAT LOG:  checkpoint complete: wrote 87 buffers (0.5%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=10.005 s, sync=0.009 s, total=10.022 s; sync files=16, longest=0.003 s, average=0.001 s; distance=494 kB, estimate=494 kB; lsn=0/A777BE8, redo lsn=0/A777B90
2026-05-12 19:42:45 WAT LOG:  début du checkpoint : time
