2026-05-10 01:05:59 WAT LOG:  début du checkpoint : time
2026-05-10 01:06:09 WAT LOG:  checkpoint complete: wrote 86 buffers (0.5%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=9.433 s, sync=0.019 s, total=9.476 s; sync files=29, longest=0.003 s, average=0.001 s; distance=529 kB, estimate=1049 kB; lsn=0/8396F88, redo lsn=0/8396F30
2026-05-10 01:10:59 WAT LOG:  début du checkpoint : time
2026-05-10 01:11:09 WAT LOG:  checkpoint complete: wrote 93 buffers (0.6%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=10.225 s, sync=0.013 s, total=10.243 s; sync files=31, longest=0.001 s, average=0.001 s; distance=550 kB, estimate=999 kB; lsn=0/84208C0, redo lsn=0/8420830
2026-05-10 01:40:59 WAT LOG:  début du checkpoint : time
2026-05-10 01:41:08 WAT LOG:  checkpoint complete: wrote 84 buffers (0.5%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=9.170 s, sync=0.027 s, total=9.211 s; sync files=39, longest=0.002 s, average=0.001 s; distance=498 kB, estimate=949 kB; lsn=0/84BF9C8, redo lsn=0/849D2A0
2026-05-10 01:45:59 WAT LOG:  début du checkpoint : time
2026-05-10 01:46:05 WAT LOG:  checkpoint complete: wrote 49 buffers (0.3%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=5.358 s, sync=0.075 s, total=5.465 s; sync files=21, longest=0.015 s, average=0.004 s; distance=290 kB, estimate=883 kB; lsn=0/84E5C38, redo lsn=0/84E5BA8
2026-05-10 01:50:59 WAT LOG:  début du checkpoint : time
2026-05-10 01:51:08 WAT LOG:  checkpoint complete: wrote 82 buffers (0.5%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=9.000 s, sync=0.034 s, total=9.050 s; sync files=29, longest=0.004 s, average=0.002 s; distance=505 kB, estimate=846 kB; lsn=0/8564298, redo lsn=0/8564208
2026-05-10 01:55:59 WAT LOG:  début du checkpoint : time
2026-05-10 01:56:01 WAT LOG:  checkpoint complete: wrote 25 buffers (0.2%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.727 s, sync=0.009 s, total=2.744 s; sync files=15, longest=0.003 s, average=0.001 s; distance=170 kB, estimate=778 kB; lsn=0/858EBC8, redo lsn=0/858EB38
2026-05-10 02:00:59 WAT LOG:  début du checkpoint : time
